Date : 2023-03-28 16:46:52
Directory : /home/lars/Projects/music-downloader/src
Total : 66 files,  4673 codes, 1082 comments, 1358 blanks, all 7113 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /home/lars/Projects/music-downloader/src/music_kraken/pages/download_center/search.py                  | Python   |         98 |          8 |         42 |        148 |
| /home/lars/Projects/music-downloader/src/music_kraken/pages/encyclopaedia_metallum.py                  | Python   |        441 |         86 |        111 |        638 |
| /home/lars/Projects/music-downloader/src/music_kraken/pages/musify.py                                  | Python   |        500 |        248 |        135 |        883 |
| /home/lars/Projects/music-downloader/src/music_kraken/pages/youtube.py                                 | Python   |         25 |         16 |          6 |         47 |
| /home/lars/Projects/music-downloader/src/music_kraken/static_files/new_db.sql                          | SQLite   |         72 |          0 |         10 |         82 |
| /home/lars/Projects/music-downloader/src/music_kraken/static_files/temp_database_structure.sql         | SQLite   |        135 |          0 |         10 |        145 |
| /home/lars/Projects/music-downloader/src/music_kraken/tagging/__init__.py                              | Python   |          8 |          0 |          2 |         10 |
| /home/lars/Projects/music-downloader/src/music_kraken/tagging/id3.py                                   | Python   |         51 |          4 |         20 |         75 |
| /home/lars/Projects/music-downloader/src/music_kraken/utils/__init__.py                                | Python   |          1 |          1 |          1 |          3 |
| /home/lars/Projects/music-downloader/src/music_kraken/utils/functions.py                               | Python   |          3 |          0 |          1 |          4 |
| /home/lars/Projects/music-downloader/src/music_kraken/utils/object_handeling.py                        | Python   |         19 |          0 |          6 |         25 |
| /home/lars/Projects/music-downloader/src/music_kraken/utils/phonetic_compares.py                       | Python   |         39 |          2 |         17 |         58 |
| /home/lars/Projects/music-downloader/src/music_kraken/utils/shared.py                                  | Python   |         62 |          3 |         10 |         75 |
| /home/lars/Projects/music-downloader/src/music_kraken/utils/string_processing.py                       | Python   |          2 |          5 |          2 |          9 |
| /home/lars/Projects/music-downloader/src/music_kraken_cli.py                                           | Python   |          3 |          0 |          3 |          6 |
| /home/lars/Projects/music-downloader/src/music_kraken_gtk.py                                           | Python   |          3 |          0 |          2 |          5 |
| /home/lars/Projects/music-downloader/src/musify_search.py                                              | Python   |         26 |          0 |         11 |         37 |
| /home/lars/Projects/music-downloader/src/python.py                                                     | Python   |         12 |         43 |          6 |         61 |
| /home/lars/Projects/music-downloader/src/test.db                                                       | Database |         91 |          0 |          1 |         92 |
| /home/lars/Projects/music-downloader/src/test.py                                                       | Python   |          1 |          0 |          0 |          1 |
| /home/lars/Projects/music-downloader/src/tests/__init__.py                                             | Python   |          0 |          0 |          1 |          1 |
| /home/lars/Projects/music-downloader/src/tests/conftest.py                                             | Python   |          3 |          1 |          2 |          6 |
| /home/lars/Projects/music-downloader/src/tests/test_building_objects.py                                | Python   |         81 |          1 |         13 |         95 |
| /home/lars/Projects/music-downloader/src/tests/test_objects.py                                         | Python   |        173 |         15 |         51 |        239 |
| /home/lars/Projects/music-downloader/src/try-programming-interface.py                                  | Python   |         14 |         98 |         22 |        134 |
| /home/lars/Projects/music-downloader/src/try.py                                                        | Python   |          1 |          0 |          3 |          4 |
| /home/lars/Projects/music-downloader/src/try_python.py                                                 | Python   |         13 |         20 |          9 |         42 |
| Total                                                                                                  |          |      4,673 |      1,082 |      1,358 |      7,113 |
+--------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
